"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2017","185.65","195.45","197.50","179.05","7.96M","-4.79%"
"01/01/2017","195.00","194.25","203.65","190.00","7.61M","-0.48%"
"12/01/2016","195.95","183.00","199.04","181.05","7.13M","6.96%"
"11/01/2016","183.20","210.00","210.00","181.40","9.21M","-11.18%"
"10/01/2016","206.25","209.30","223.25","205.50","12.03M","-4.05%"
"09/01/2016","214.95","215.00","222.34","171.97","25.66M","-2.52%"
"08/01/2016","220.50","220.00","224.20","212.15","5.66M","1.43%"
"07/01/2016","217.40","227.65","230.00","201.80","6.84M","-4.40%"
"06/01/2016","227.40","221.10","234.60","201.30","13.29M","0.40%"
"05/01/2016","226.50","235.25","236.25","220.05","6.27M","-3.96%"
"04/01/2016","235.85","237.50","239.05","227.50","5.44M","0.11%"
"03/01/2016","235.60","213.75","236.25","210.10","9.93M","10.90%"
"02/01/2016","212.45","240.00","240.00","209.17","7.10M","-10.55%"
"01/01/2016","237.50","247.50","252.50","224.45","3.27M","-5.00%"
"12/01/2015","250.00","260.00","267.50","241.30","4.51M","-5.66%"
"11/01/2015","265.00","276.25","284.00","260.00","5.26M","-4.25%"
"10/01/2015","276.75","265.00","289.75","262.50","6.98M","5.13%"
"09/01/2015","263.25","272.50","278.75","261.00","3.87M","-0.19%"
"08/01/2015","263.75","257.75","277.50","246.00","2.18M","1.44%"
"07/01/2015","260.00","260.00","275.00","253.75","2.49M","-0.57%"
"06/01/2015","261.50","272.50","280.00","255.00","4.05M","-4.91%"
"05/01/2015","275.00","295.75","298.00","273.00","3.14M","-6.22%"
"04/01/2015","293.25","292.50","299.50","283.00","4.39M","-0.17%"
"03/01/2015","293.75","278.00","297.50","275.75","7.22M","4.54%"
"02/01/2015","281.00","280.00","295.00","275.00","3.18M","3.40%"
"01/01/2015","271.75","270.50","282.25","264.75","4.41M","-0.28%"
"12/01/2014","272.50","257.50","275.00","247.50","3.53M","8.57%"
"11/01/2014","251.00","261.25","262.25","246.50","3.52M","-3.09%"
"10/01/2014","259.00","258.50","260.00","240.00","3.20M","0.58%"
"09/01/2014","257.50","265.00","265.00","255.00","2.91M","-0.58%"
"08/01/2014","259.00","258.50","267.25","248.80","2.79M","0.58%"
"07/01/2014","257.50","272.00","272.00","255.75","4.65M","-4.01%"
"06/01/2014","268.25","286.50","292.25","264.00","6.07M","-9.38%"
"05/01/2014","296.00","277.50","296.00","270.10","7.93M","6.67%"
"04/01/2014","277.50","272.50","288.75","265.00","10.99M","0.45%"
"03/01/2014","276.25","252.50","276.25","243.75","8.04M","8.33%"
