"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2017","61.25","61.28","61.50","60.26","137.75K","0.41%"
"08/01/2017","61.00","62.00","62.89","60.80","34.84K","-1.61%"
"07/01/2017","62.00","59.90","62.00","59.52","51.98K","4.27%"
"06/01/2017","59.46","58.95","60.79","58.54","65.06K","0.78%"
"05/01/2017","59.00","61.00","61.49","58.51","50.80K","-2.86%"
"04/01/2017","60.74","59.00","62.00","58.41","38.70K","4.19%"
"03/01/2017","58.30","58.13","60.50","57.36","112.62K","-1.52%"
"02/01/2017","59.20","59.25","60.46","57.25","102.36K","0.24%"
"01/01/2017","59.06","62.80","63.45","58.52","134.00K","-5.73%"
"12/01/2016","62.65","63.00","63.48","61.01","51.30K","-1.32%"
"11/01/2016","63.49","64.70","64.98","62.02","40.77K","-1.87%"
"10/01/2016","64.70","64.36","64.98","64.32","48.46K","0.31%"
"09/01/2016","64.50","64.99","65.00","63.90","30.62K","-0.75%"
"08/01/2016","64.99","63.50","64.99","63.00","36.23K","3.16%"
"07/01/2016","63.00","63.40","64.00","62.08","25.19K","-0.63%"
"06/01/2016","63.40","61.50","64.16","60.00","52.09K","3.93%"
"05/01/2016","61.00","59.90","61.94","59.05","28.36K","2.52%"
"04/01/2016","59.50","59.00","60.50","58.78","37.81K","1.16%"
"03/01/2016","58.82","58.80","59.00","56.56","129.80K","0.53%"
"02/01/2016","58.51","58.50","59.89","55.57","31.76K","1.76%"
"01/01/2016","57.50","59.75","60.44","56.60","53.28K","-3.77%"
"12/01/2015","59.75","59.60","59.99","58.10","34.39K","0.27%"
"11/01/2015","59.59","58.69","60.88","58.15","27.95K","2.51%"
"10/01/2015","58.13","56.87","58.85","55.60","40.12K","3.64%"
"09/01/2015","56.09","57.23","57.90","55.00","35.09K","-1.58%"
"08/01/2015","56.99","56.49","57.48","54.65","24.38K","1.41%"
"07/01/2015","56.20","55.51","57.10","54.15","28.65K","1.24%"
"06/01/2015","55.51","59.00","59.00","51.07","53.05K","-5.39%"
"05/01/2015","58.67","61.33","62.00","58.30","24.38K","-4.59%"
"04/01/2015","61.49","60.22","64.98","60.22","37.51K","2.11%"
"03/01/2015","60.22","60.00","60.50","59.75","76.19K","0.37%"
"02/01/2015","60.00","59.85","60.99","59.50","67.56K","0.03%"
"01/01/2015","59.98","57.98","62.21","57.60","33.29K","4.39%"
"12/01/2014","57.46","55.40","58.00","55.10","50.89K","3.72%"
"11/01/2014","55.40","54.75","55.70","54.51","24.42K","1.65%"
"10/01/2014","54.50","53.01","54.86","52.87","64.42K","1.40%"
"09/01/2014","53.75","53.20","53.75","52.51","39.48K","1.59%"
"08/01/2014","52.91","53.00","53.00","52.60","123.88K","-0.15%"
"07/01/2014","52.99","51.90","53.00","51.61","49.02K","1.90%"
"06/01/2014","52.00","52.55","52.99","51.95","172.52K","-1.05%"
"05/01/2014","52.55","51.10","53.00","51.10","29.63K","3.04%"
"04/01/2014","51.00","51.39","51.50","50.20","26.26K","-0.76%"
"03/01/2014","51.39","51.81","51.85","48.80","40.90K","-0.80%"
"02/01/2014","51.81","54.25","54.25","51.81","19.28K","-4.50%"
"01/01/2014","54.25","52.96","54.73","52.96","15.74K","2.43%"
"12/01/2013","52.96","50.88","52.96","50.24","14.22K","4.08%"
"11/01/2013","50.88","52.80","52.81","49.46","14.96K","-3.57%"
"10/01/2013","52.77","49.93","52.81","49.93","8.91K","5.67%"
"09/01/2013","49.93","51.76","51.76","49.84","10.00K","-1.52%"
"08/01/2013","50.70","50.13","51.85","49.08","6.01K","-0.38%"
"07/01/2013","50.89","47.74","50.89","47.72","8.01K","2.32%"
"06/01/2013","49.74","52.09","52.24","49.74","6.75K","-4.92%"
"05/01/2013","52.32","51.37","52.33","51.10","11.73K","1.83%"
"04/01/2013","51.37","51.90","52.33","51.09","6.37K","-0.94%"
"03/01/2013","51.86","50.41","51.86","50.14","5.67K","3.07%"
"02/01/2013","50.32","50.41","50.89","49.94","5.48K","-0.19%"
"01/01/2013","50.41","50.32","52.29","49.93","8.71K","0.96%"
"12/01/2012","49.93","48.06","51.85","47.54","8.10K","3.90%"
