MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 1990 to Aug 2024,,,,
,,,,
,,,,
End of Period / SORA Value Date,,,Interbank Overnight,SF Deposit Rate
,,09,0.5,-
,,10,0.88,-
,,11,1.75,-
,,12,1.5,-
,,14,1.13,-
,,15,1.13,-
,,16,1.25,-
,,17,3.25,-
,,18,3.75,-
,,19,3.75,-
,,21,2.75,-
,,22,1,-
,,23,1.13,-
,,24,1.75,-
,,26,1.5,-
,,28,1,-
,,29,1.13,-
,,30,1.75,-
,,31,3,-
1993,Jan,02,3.13,-
,,04,1.88,-
,,05,1.75,-
,,06,1.88,-
,,07,2.06,-
,,08,2.06,-
,,09,2.13,-
,,11,2,-
,,12,2.38,-
,,13,2.38,-
,,14,2.38,-
,,15,2.63,-
,,16,2.63,-
,,18,3.38,-
,,19,2.88,-
,,20,3,-
,,21,2.88,-
,,22,2.88,-
,,26,2.38,-
,,27,2.25,-
,,28,2.38,-
,,29,2.5,-
,,30,2.5,-
,Feb,01,2.25,-
,,02,2.25,-
,,03,2,-
,,04,1.88,-
,,05,2.06,-
,,06,2,-
,,08,1.88,-
,,09,1.88,-
,,10,2,-
,,11,1.94,-
,,12,1.75,-
,,13,1.88,-
,,15,1.75,-
,,16,1.13,-
,,17,1,-
,,18,1.13,-
,,19,1.13,-
,,20,1.13,-
,,22,1,-
,,23,0.88,-
,,24,1.13,-
,,25,1.13,-
,,26,1,-
,,27,1.25,-
,Mar,01,1,-
,,02,0.75,-
,,03,0.63,-
,,04,1.38,-
,,05,1.38,-
,,06,1.25,-
,,08,1.25,-
,,09,1,-
,,10,1,-
,,11,1.13,-
,,12,1.13,-
,,13,1,-
,,15,1.25,-
,,16,1.19,-
,,17,1.25,-
,,18,1.25,-
,,19,2.13,-
,,20,1.5,-
,,22,1.75,-
,,23,1.75,-
,,24,1.5,-
,,26,1.5,-
,,27,1.38,-
,,29,1.5,-
,,30,1.88,-
,,31,1.75,-
,Apr,01,1.31,-
,,02,2,-
,,03,2.13,-
,,05,2.25,-
,,06,1.5,-
,,07,1.81,-
,,08,2.63,-
,,10,2.25,-
,,12,2.5,-
,,13,2,-
,,14,2.25,-
,,15,2.13,-
,,16,2.75,-
,,17,2.25,-
,,19,2.88,-
,,20,3,-
,,21,4.13,-
,,22,3,-
,,23,3.25,-
,,24,3,-
,,26,3,-
,,27,2.75,-
,,28,2.5,-
,,29,2.88,-
,,30,2.88,-
,May,03,2.94,-
,,04,3.13,-
,,05,2.88,-
,,07,2.88,-
,,08,2.5,-
,,10,2.63,-
,,11,2.25,-
,,12,2.38,-
,,13,2.13,-
,,14,2.25,-
,,15,2.13,-
,,17,1.75,-
,,18,2,-
,,19,1.88,-
,,20,2.13,-
,,21,2,-
,,22,2,-
,,24,2.13,-
,,25,2,-
,,26,2,-
,,27,2,-
,,28,2.13,-
,,29,2.25,-
,,31,2.25,-
,Jun,02,2.38,-
,,03,2.25,-
,,04,2.5,-
,,05,2.38,-
,,07,2.38,-
,,08,2.38,-
,,09,2.38,-
,,10,2.25,-
,,11,2.5,-
,,12,2.38,-
,,14,2.44,-
,,15,2.31,-
,,16,2.5,-
,,17,2.69,-
,,18,3.25,-
,,19,2.88,-
,,21,2.25,-
,,22,2.25,-
,,23,2.31,-
,,24,2.75,-
,,25,3,-
,,26,2.75,-
,,28,3,-
,,29,2.75,-
,,30,2.5,-
,Jul,01,2.63,-
,,02,2.88,-
,,03,2.75,-
,,05,2.88,-
,,06,2.63,-
,,07,2.38,-
,,08,2.38,-
,,09,2.56,-
,,10,2.56,-
,,12,2.44,-
,,13,2.38,-
,,14,2.38,-
,,15,2.63,-
,,16,2.75,-
,,17,2.88,-
,,19,2.38,-
,,20,2.31,-
,,21,2.38,-
,,22,2.5,-
,,23,2.63,-
,,24,2.63,-
,,26,2.5,-
,,27,2.5,-
,,28,2.44,-
,,29,2.69,-
,,30,2.75,-
,,31,2.75,-
,Aug,02,2.38,-
,,03,2.75,-
,,04,2.38,-
,,05,2.25,-
,,06,2.56,-
,,07,2.63,-
,,10,2.13,-
,,11,2.13,-
,,12,2.13,-
,,13,2.38,-
,,14,2.38,-
,,16,2.13,-
,,17,2,-
,,18,2.06,-
,,19,2.75,-
,,20,3,-
,,21,3,-
,,23,2.69,-
,,24,2.5,-
,,25,2.63,-
,,26,2.69,-
,,27,3,-
,,30,3,-
,,31,2,-
,Sep,01,2.13,-
,,02,2.25,-
,,03,3.25,-
,,04,3,-
,,06,2.88,-
,,07,1,-
,,08,1.63,-
,,09,2.38,-
,,10,2.88,-
,,11,3,-
,,13,2.38,-
,,14,2.5,-
,,15,2.63,-
,,16,2.88,-
,,17,3,-
,,18,3,-
,,20,2.88,-
,,21,2.63,-
,,22,2.38,-
,,23,2.38,-
,,24,3.25,-
,,25,2.5,-
,,27,2.63,-
,,28,2.63,-
,,29,2.75,-
,,30,2.5,-
,Oct,01,2.69,-
,,02,2.63,-
,,04,1,-
,,05,0.63,-
,,06,0.03,-
,,07,0.06,-
,,08,0,-
,,09,0.06,-
,,11,0.06,-
,,12,0.06,-
,,13,0,-
,,14,0,-
,,15,-0.13,-
,,16,0,-
,,18,-0.13,-
,,19,-0.38,-
,,20,-0.13,-
,,21,-0.13,-
,,22,0,-
,,23,-0.25,-
,,25,-0.25,-
,,26,-0.31,-
,,27,-0.38,-
,,28,-0.25,-
,,29,-0.75,-
,,30,0,-
,Nov,01,-0.75,-
,,02,-0.5,-
,,03,-1.5,-
,,04,-0.25,-
,,05,0,-
,,06,0,-
,,08,-0.13,-
,,09,0,-
,,10,0,-
,,11,0.13,-
,,12,0.25,-
,,15,0,-
,,16,0.19,-
,,17,0.13,-
,,18,0.5,-
,,19,0.5,-
,,20,0.5,-
,,22,0.25,-
,,23,0.5,-
,,24,0.5,-
,,25,1.94,-
,,26,2,-
,,27,2,-
,,29,2.38,-
,,30,1.88,-
,Dec,01,1.25,-
,,02,1.13,-
,,03,2.38,-
,,04,2,-
,,06,1.88,-
,,07,1.88,-
,,08,1.75,-
,,09,2.25,-
,,10,3,-
,,11,2.75,-
,,13,2.13,-
,,14,2.5,-
,,15,3.5,-
,,16,3,-
,,17,4.13,-
,,18,3.75,-
,,20,3.63,-
,,21,4,-
,,22,4,-
,,23,3.38,-
,,24,3.25,-
,,27,3.38,-
,,28,3.75,-
,,29,3.5,-
,,30,4,-
,,31,4,-
1994,Jan,03,3,-
,,04,3.13,-
,,05,3.63,-
,,06,3.25,-
,,07,3.5,-
,,08,3.5,-
,,10,2.5,-
,,11,2.75,-
,,12,3,-
,,13,2.88,-
,,14,2.75,-
,,15,3,-
,,17,2.69,-
,,18,3,-
,,19,2.88,-
,,20,2.88,-
,,21,2.63,-
,,22,2.25,-
,,24,2.63,-
,,25,2.63,-
,,26,2.5,-
,,27,1.88,-
,,28,2.5,-
,,29,2.5,-
,,31,2.38,-
,Feb,01,2.63,-
,,02,2.5,-
,,03,2.5,-
,,04,2.75,-
,,05,2.38,-
,,07,2.5,-
,,08,2.38,-
,,09,2.5,-
,,12,2.5,-
,,14,2,-
,,15,1.75,-
,,16,2,-
,,17,2.25,-
,,18,2.5,-
,,19,2.38,-
,,21,2.75,-
,,22,2.5,-
,,23,2.63,-
,,24,2.56,-
