MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 1990 to Aug 2024,,,,
,,,,
,,,,
End of Period / SORA Value Date,,,Interbank Overnight,SF Deposit Rate
,,08,0.13,-
,,10,0.75,-
,,11,0.5,-
,,12,1,-
,,13,0.13,-
,,14,1.75,-
,,15,0.75,-
,,17,0.13,-
,,18,0.38,-
,,19,0.13,-
,,20,0.13,-
,,21,0.5,-
,,22,0.13,-
,,24,0.25,-
,,25,0.25,-
,,26,0.13,-
,,27,0.13,-
,,28,0.13,-
,,31,0.13,-
,Jun,01,0.25,-
,,02,0.13,-
,,03,0.13,-
,,04,0.25,-
,,05,0.13,-
,,07,0.13,-
,,08,0.13,-
,,09,0.5,-
,,10,0.38,-
,,11,1.25,-
,,12,1.25,-
,,14,0.13,-
,,15,0.5,-
,,16,0.13,-
,,17,0.13,-
,,18,0.13,-
,,19,0.25,-
,,21,0.25,-
,,22,0.5,-
,,23,4,-
,,24,2,-
,,25,1,-
,,26,0.5,-
,,28,0.25,-
,,29,2.5,-
,,30,2.25,-
,Jul,01,1,-
,,02,2.5,-
,,03,2,-
,,05,0.63,-
,,06,0.38,-
,,07,0.5,-
,,08,0.5,-
,,09,2.5,-
,,10,1.25,-
,,12,0.5,-
,,13,0.25,-
,,14,0.38,-
,,15,0.5,-
,,16,1.75,-
,,17,0.5,-
,,19,0.25,-
,,20,0.38,-
,,21,0.5,-
,,22,0.5,-
,,23,0.75,-
,,24,0.13,-
,,26,0.13,-
,,27,0.75,-
,,28,0.13,-
,,29,0.25,-
,,30,1.63,-
,,31,0.5,-
,Aug,02,0.25,-
,,03,0.75,-
,,04,2.5,-
,,05,0.5,-
,,06,0.13,-
,,07,0.5,-
,,10,0.13,-
,,11,0.13,-
,,12,0.13,-
,,13,0.5,-
,,14,0.5,-
,,16,0.25,-
,,17,0.5,-
,,18,0.75,-
,,19,0.38,-
,,20,0.75,-
,,21,0.5,-
,,23,0.5,-
,,24,0.5,-
,,25,0.25,-
,,26,0.25,-
,,27,2.25,-
,,28,1.5,-
,,30,0.25,-
,,31,1.25,-
,Sep,01,0.25,-
,,02,1,-
,,03,0.75,-
,,04,0.5,-
,,06,1.75,-
,,07,0.75,-
,,08,0.5,-
,,09,0.25,-
,,10,1.5,-
,,11,0.25,-
,,13,0.38,-
,,14,0.5,-
,,15,0.25,-
,,16,0.63,-
,,17,3,-
,,18,0.5,-
,,20,1.5,-
,,21,0.5,-
,,22,0.25,-
,,23,1,-
,,24,1,-
,,25,0.75,-
,,27,0.25,-
,,28,0.5,-
,,29,0.75,-
,,30,0.75,-
,Oct,01,2.5,-
,,02,2.25,-
,,04,0.75,-
,,05,0.5,-
,,06,1,-
,,07,0.25,-
,,08,1.5,-
,,09,2.25,-
,,11,0.25,-
,,12,1,-
,,13,0.13,-
,,14,0.75,-
,,15,2.5,-
,,16,2,-
,,18,1.75,-
,,19,1,-
,,20,0.75,-
,,21,0.75,-
,,22,2.75,-
,,23,0.75,-
,,25,1.25,-
,,26,1.5,-
,,27,1,-
,,28,0.75,-
,,29,2.13,-
,,30,1.25,-
,Nov,01,1.5,-
,,02,0.5,-
,,03,1.13,-
,,04,1,-
,,05,2.25,-
,,06,1.5,-
,,09,0.25,-
,,10,0,-
,,11,0.5,-
,,12,2.25,-
,,13,1.25,-
,,15,1.5,-
,,16,0.13,-
,,17,0.25,-
,,18,0.13,-
,,19,2,-
,,20,0.5,-
,,22,0.13,-
,,23,0.13,-
,,24,0.13,-
,,25,0.06,-
,,26,1.38,-
,,27,0.25,-
,,29,0.75,-
,,30,0.75,-
,Dec,01,0.13,-
,,02,0.5,-
,,03,0.5,-
,,04,0.13,-
,,06,0.13,-
,,07,0.13,-
,,08,0.13,-
,,09,0.13,-
,,10,0.75,-
,,11,0.06,-
,,13,0.13,-
,,14,0.13,-
,,15,0,-
,,16,0,-
,,17,0,-
,,18,0.13,-
,,20,0,-
,,21,0,-
,,22,0,-
,,23,0,-
,,24,0,-
,,27,0,-
,,28,0,-
,,29,0.06,-
,,30,0,-
2000,Jan,03,0,-
,,04,0,-
,,05,0.13,-
,,06,0,-
,,07,0.06,-
,,10,0.13,-
,,11,0.25,-
,,12,0.13,-
,,13,0.06,-
,,14,0.75,-
,,15,0.13,-
,,17,0.25,-
,,18,0.38,-
,,19,0.5,-
,,20,0.13,-
,,21,2,-
,,22,0.75,-
,,24,0.63,-
,,25,0.75,-
,,26,1.5,-
,,27,0.5,-
,,28,2.5,-
,,29,3.5,-
,,31,0.25,-
,Feb,01,2.25,-
,,02,0.75,-
,,03,2.75,-
,,04,0.5,-
,,08,0.13,-
,,09,0.88,-
,,10,0.38,-
,,11,1.38,-
,,12,0.38,-
,,14,0.13,-
,,15,0.63,-
,,16,1,-
,,17,1.25,-
,,18,2.5,-
,,19,0.25,-
,,21,2.5,-
,,22,2.5,-
,,23,1.5,-
,,24,2,-
,,25,2.25,-
,,26,1,-
,,28,1.5,-
,,29,3.25,-
,Mar,01,2,-
,,02,0.38,-
,,03,2,-
,,04,1.25,-
,,06,0.13,-
,,07,0.5,-
,,08,0.75,-
,,09,0.5,-
,,10,4.5,-
,,11,1.25,-
,,13,2.25,-
,,14,1.88,-
,,15,2,-
,,17,4.25,-
,,18,2.5,-
,,20,3.5,-
,,21,1.25,-
,,22,0.25,-
,,23,1,-
,,24,3.5,-
,,25,1.5,-
,,27,0.13,-
,,28,0.38,-
,,29,1.13,-
,,30,0.25,-
,,31,3,-
,Apr,01,1,-
,,03,1,-
,,04,0.75,-
,,05,0.75,-
,,06,1,-
,,07,3.25,-
,,08,2.13,-
,,10,1,-
,,11,0.5,-
,,12,1.25,-
,,13,1.5,-
,,14,0.25,-
,,15,0.25,-
,,17,1.75,-
,,18,0.38,-
,,19,2.5,-
,,20,3,-
,,22,5,-
,,24,3,-
,,25,3,-
,,26,3,-
,,27,0.25,-
,,28,3.75,-
,,29,0.25,-
,May,02,0.13,-
,,03,1.75,-
,,04,0.5,-
,,05,2.5,-
,,06,2,-
,,08,0.25,-
,,09,0.13,-
,,10,0.13,-
,,11,0.13,-
,,12,0.13,-
,,13,0,-
,,15,0.13,-
,,16,1.25,-
,,17,2,-
,,19,2.75,-
,,20,0.25,-
,,22,2.25,-
,,23,1.5,-
,,24,1.75,-
,,25,1.5,-
,,26,2.5,-
,,27,0.13,-
,,29,0.25,-
,,30,0.25,-
,,31,0.25,-
,Jun,01,1.25,-
,,02,2,-
,,03,1,-
,,05,1.5,-
,,06,0.5,-
,,07,0.5,-
,,08,1,-
,,09,2,-
,,10,0.5,-
,,12,0.25,-
,,13,0.75,-
,,14,1,-
,,15,1,-
,,16,2.5,-
,,17,3,-
,,19,1,-
,,20,0.5,-
,,21,1,-
,,22,0.25,-
,,23,3.75,-
,,24,2.5,-
,,26,0.13,-
,,27,0.5,-
,,28,0.5,-
,,29,0.5,-
,,30,1,-
,Jul,01,0.13,-
,,03,1.5,-
,,04,1,-
,,05,0.75,-
,,06,2.75,-
,,07,2,-
,,08,1.5,-
,,10,1,-
,,11,1.75,-
,,12,2.5,-
,,13,1,-
,,14,1.75,-
,,15,0.5,-
,,17,0.75,-
,,18,2.5,-
,,19,2.5,-
,,20,2,-
,,21,2.88,-
,,22,0.5,-
,,24,2,-
,,25,1,-
,,26,2.5,-
,,27,2.25,-
,,28,3.5,-
,,29,1,-
,,31,0.5,-
,Aug,01,1.5,-
,,02,0.5,-
,,03,1.5,-
,,04,2.5,-
,,05,1.5,-
,,07,1.25,-
,,08,0.5,-
,,10,1.5,-
,,11,3.5,-
,,12,1.25,-
,,14,1,-
,,15,2,-
,,16,0.13,-
,,17,2,-
,,18,2.5,-
,,19,2.25,-
,,21,0.13,-
,,22,0.25,-
,,23,1,-
,,24,0.75,-
,,25,3.5,-
,,26,2,-
,,28,1,-
,,29,1.5,-
,,30,2,-
,,31,1,-
,Sep,01,2.25,-
,,02,1.5,-
,,04,1,-
,,05,2,-
,,06,0.5,-
,,07,0.5,-
,,08,3.75,-
,,09,1,-
,,11,1,-
,,12,1.75,-
,,13,1,-
,,14,0.75,-
,,15,2.5,-
,,16,1.5,-
,,18,1.5,-
,,19,1,-
,,20,1.5,-
,,21,1.75,-
,,22,2.5,-
,,23,2,-
,,25,2,-
,,26,0.25,-
,,27,1.75,-
,,28,2,-
,,29,3.25,-
,,30,3,-
,Oct,02,2.5,-
,,03,1,-
,,04,0.75,-
,,05,0.75,-
,,06,3,-
,,07,1,-
,,09,2,-
,,10,0.75,-
,,11,1,-
,,12,1.88,-
,,13,2.25,-
,,14,2.5,-
,,16,1,-
,,17,1.25,-
,,18,0.5,-
,,19,2.38,-
,,20,3,-
,,21,1.5,-
,,23,1.5,-
,,24,2.25,-
,,25,2,-
,,27,3.75,-
,,28,2,-
,,30,2.25,-
,,31,0.75,-
,Nov,01,1.5,-
,,02,2,-
,,03,4,-
,,04,3.75,-
,,06,2.5,-
,,07,1,-
,,08,1.5,-
,,09,1.5,-
,,10,2.5,-
,,11,2,-
,,13,1.5,-
,,14,2,-
,,15,2,-
,,16,0.38,-
,,17,1.25,-
,,18,1,-
,,20,1,-
,,21,2.13,-
,,22,2,-
,,23,2,-
,,24,1.25,-
,,25,2,-
,,27,2.25,-
,,28,0.63,-
,,29,2,-
,,30,0.5,-
,Dec,01,2.5,-
,,02,2.5,-
,,04,1,-
,,05,3,-
,,06,2.5,-
,,07,1.25,-
,,08,2.75,-
,,09,2.75,-
,,11,0.5,-
,,12,1.25,-
,,13,1.25,-
,,14,2.25,-
,,15,2.25,-
,,16,2,-
,,18,1,-
,,19,2,-
,,20,2.5,-
,,21,1.5,-
,,22,3,-
,,23,2.25,-
,,26,1,-
,,28,0.13,-
,,29,3.25,-
,,30,3.25,-
2001,Jan,02,1.75,-
,,03,1,-
,,04,1.5,-
,,05,1.5,-
,,06,1.5,-
,,08,1.75,-
,,09,2,-
,,10,2,-
,,11,2.75,-
,,12,3,-
,,13,2.75,-
,,15,2,-
,,16,0.25,-
,,17,1.25,-
,,18,1,-
,,19,1.5,-
,,20,2.75,-
,,22,2.25,-
,,23,2.75,-
,,26,2,-
,,27,1,-
,,29,0.75,-
,,30,1.25,-
,,31,0.75,-
,Feb,01,1.75,-
,,02,1.75,-
,,03,2,-
,,05,2.25,-
,,06,2,-
,,07,2.25,-
,,08,0.75,-
,,09,2.5,-
,,10,0.75,-
,,12,2.5,-
,,13,2.75,-
,,14,1.5,-
,,15,1.5,-
,,16,1.75,-
,,17,2.25,-
,,19,1.75,-
,,20,0.25,-
,,21,1.25,-
,,22,0.75,-
,,23,2,-
,,24,1.25,-
,,26,1.25,-
,,27,0.5,-
,,28,1.25,-
,Mar,01,1.63,-
,,02,2.25,-
,,03,1,-
,,05,2,-
,,07,2,-
,,08,2.5,-
,,09,2.25,-
,,10,2.25,-
,,12,3.5,-
,,13,3.25,-
,,14,1.5,-
,,15,0.5,-
,,16,1.25,-
,,17,2.5,-
,,19,1.25,-
,,20,0.25,-
,,21,1.25,-
,,22,0.5,-
,,23,2,-
,,24,1.5,-
,,26,0.25,-
,,27,2.25,-
,,28,0.25,-
,,29,0.25,-
,,30,1.25,-
,,31,1.25,-
,Apr,02,2,-
,,03,1.5,-
,,04,1.75,-
,,05,1.5,-
,,06,2.25,-
,,07,2,-
,,09,1.88,-
,,10,1,-
,,11,1.5,-
,,12,2.5,-
,,14,2.5,-
,,16,0.75,-
,,17,0.5,-
,,18,1.25,-
,,19,0.5,-
,,20,2.75,-
,,21,2.75,-
,,23,0.25,-
,,24,1,-
,,25,1.75,-
,,26,3,-
,,27,2.5,-
,,28,2.25,-
,,30,0.5,-
,May,02,0.25,-
,,03,1,-
,,04,3,-
,,05,2,-
,,08,2,-
,,09,1.25,-
,,10,2,-
,,11,2.25,-
,,12,2.5,-
,,14,2.5,-
,,15,2.5,-
,,16,1.88,-
,,17,1.5,-
,,18,2,-
,,19,2,-
,,21,1.75,-
,,22,2.25,-
,,23,2.5,-
,,24,2,-
,,25,2.75,-
,,26,2,-
,,28,1.75,-
,,29,0.5,-
,,30,2,-
,,31,1.25,-
,Jun,01,1.75,-
,,02,1.25,-
,,04,1,-
,,05,2.75,-
,,06,2,-
,,07,1.63,-
,,08,2,-
,,09,1,-
,,11,1.25,-
,,12,1.25,-
,,13,1.5,-
,,14,2.5,-
,,15,1.25,-
,,16,1.25,-
,,18,1.5,-
,,19,2,-
,,20,2.13,-
,,21,1,-
,,22,2,-
,,23,2.25,-
,,25,2,-
,,26,1.5,-
,,27,2,-
,,28,2.13,-
,,29,2.5,-
,,30,1.75,-
,Jul,02,0.75,-
,,03,2,-
,,04,2,-
,,05,1.25,-
,,06,1.25,-
,,07,0.5,-
,,09,1.5,-
,,10,1.25,-
,,11,1.5,-
,,12,1.5,-
,,13,2.5,-
,,14,2.25,-
,,16,2.75,-
,,17,2.5,-
,,18,3.25,-
,,19,3.25,-
,,20,2,-
,,21,2,-
,,23,1,-
,,24,1,-
,,25,2,-
,,26,2.5,-
,,27,2.5,-
,,28,2.75,-
,,30,2,-
,,31,2.5,-
,Aug,01,2,-
,,02,0.5,-
,,03,1,-
,,04,1,-
,,06,3,-
,,07,1,-
,,08,1,-
,,10,2,-
,,11,1,-
,,13,1.5,-
,,14,2.25,-
,,15,2.5,-
,,16,2,-
,,17,2.5,-
,,18,2.25,-
,,20,1.5,-
,,21,1,-
,,22,0.75,-
,,23,1,-
,,24,1.75,-
,,25,2.5,-
,,27,0.25,-
,,28,0.5,-
,,29,0.5,-
,,30,0.75,-
,,31,1,-
,Sep,01,0.25,-
,,03,0.75,-
,,04,1,-
,,05,1.88,-
,,06,1,-
,,07,1.75,-
,,08,1.5,-
,,10,0.75,-
,,11,1,-
,,12,0.13,-
,,13,0.13,-
,,14,0.75,-
,,15,1,-
,,17,0.25,-
,,18,0.5,-
,,19,0.5,-
,,20,0.75,-
,,21,0.25,-
,,22,0.13,-
,,24,0.13,-
,,25,0.25,-
,,26,0.88,-
,,27,0.5,-
,,28,1,-
,,29,1,-
,Oct,01,0.25,-
,,02,0.38,-
,,03,0.13,-
,,04,0.63,-
,,05,0.5,-
,,06,0.5,-
,,08,0.63,-
,,09,0.63,-
,,10,0.5,-
,,11,0.75,-
,,12,1,-
,,13,1,-
,,15,0.5,-
,,16,0.5,-
,,17,0.13,-
,,18,0.75,-
,,19,0.63,-
,,20,0.75,-
,,22,0.75,-
,,23,0.38,-
,,24,0.13,-
,,25,0.13,-
,,26,0.25,-
,,27,0.13,-
,,29,0.13,-
,,30,0.13,-
,,31,0.5,-
,Nov,01,0.5,-
,,02,0.25,-
,,05,0.5,-
,,06,0.63,-
,,07,0.5,-
,,08,0.75,-
,,09,0.25,-
,,10,0.13,-
,,12,0.25,-
,,13,0.13,-
,,15,0.75,-
,,16,0.38,-
,,17,0.5,-
,,19,0.5,-
,,20,0.38,-
,,21,0.5,-
,,22,0.25,-
,,23,0.38,-
,,24,0.25,-
,,26,0.13,-
,,27,0.13,-
,,28,0.13,-
,,29,0.75,-
,,30,0.63,-
,Dec,01,0.25,-
,,03,0.38,-
,,04,0.75,-
,,05,0.25,-
,,06,0.25,-
,,07,0.63,-
,,08,0.25,-
,,10,0.5,-
,,11,0.13,-
,,12,0.13,-
,,13,0.5,-
,,14,0.63,-
,,15,0.38,-
,,18,0.25,-
,,19,0.5,-
,,20,0.75,-
,,21,0.5,-
,,22,0.25,-
,,24,0.06,-
,,26,0.25,-
,,27,0.88,-
,,28,0.38,-
,,29,0.5,-
,,31,0.25,-
2002,Jan,02,0.38,-
,,03,0.88,-
,,04,1,-
,,05,0.75,-
,,07,0.75,-
,,08,1,-
,,09,0.38,-
,,10,0.63,-
,,11,0.5,-
,,12,0.5,-
,,14,0.5,-
,,15,0.5,-
,,16,0.5,-
,,17,0.25,-
,,18,0.25,-
,,19,0.13,-
,,21,0.25,-
,,22,0.38,-
,,23,0.25,-
,,24,0.75,-
,,25,0.88,-
,,26,0.75,-
,,28,1,-
,,29,0.75,-
,,30,0.38,-
,,31,0.44,-
,Feb,01,0.38,-
,,02,0.25,-
,,04,0.25,-
,,05,0.25,-
,,06,0.13,-
,,07,0.5,-
,,08,0.75,-
,,09,0.5,-
,,11,0.25,-
,,14,0.63,-
,,15,0.5,-
,,16,0.5,-
,,18,0.5,-
,,19,0.5,-
,,20,0.13,-
,,21,0.63,-
,,22,0.5,-
,,25,0.63,-
,,26,0.25,-
,,27,0.5,-
,,28,0.38,-
,Mar,01,0.5,-
,,02,0.38,-
,,04,0.75,-
,,05,0.88,-
,,06,1,-
,,07,0.88,-
,,08,1,-
,,09,0.88,-
,,11,0.5,-
,,12,0.63,-
,,13,0.25,-
,,14,0.63,-
,,15,0.63,-
,,16,0.5,-
,,18,0.25,-
,,19,0.75,-
,,20,0.38,-
,,21,0.75,-
,,22,0.5,-
,,23,0.5,-
,,25,0.5,-
,,26,0.5,-
,,27,0.88,-
,,28,0.5,-
,,30,0.5,-
,Apr,01,0.25,-
,,02,0.75,-
,,03,0.13,-
,,04,0.75,-
,,05,0.5,-
,,06,0.5,-
,,08,0.5,-
,,09,0.63,-
,,10,0.56,-
,,11,0.75,-
,,12,0.75,-
,,13,0.5,-
,,15,0.5,-
,,16,0.25,-
,,17,0.38,-
,,18,0.75,-
,,19,0.75,-
,,20,0.63,-
,,22,0.88,-
,,23,0.88,-
,,24,0.75,-
,,25,0.5,-
,,26,0.5,-
,,27,0.5,-
,,29,0.5,-
,,30,0.5,-
,May,02,0.5,-
,,03,0.5,-
,,04,0.5,-
,,06,0.63,-
,,07,0.75,-
,,08,0.75,-
,,09,0.75,-
,,10,0.75,-
,,11,0.75,-
,,13,0.63,-
,,14,0.69,-
,,15,0.75,-
,,16,0.63,-
,,17,0.81,-
,,18,0.75,-
,,20,0.88,-
,,21,0.81,-
,,22,0.81,-
,,23,0.63,-
,,24,0.63,-
,,25,0.25,-
,,28,0.38,-
,,29,0.38,-
,,30,0.63,-
,,31,0.75,-
,Jun,01,0.56,-
,,03,0.69,-
,,04,0.69,-
,,05,0.63,-
,,06,0.63,-
,,07,0.63,-
,,08,0.63,-
,,10,0.25,-
,,11,0.13,-
,,12,0.38,-
,,13,0.5,-
,,14,0.75,-
,,15,0.75,-
,,17,0.88,-
,,18,0.88,-
,,19,0.75,-
,,20,0.88,-
,,21,0.63,-
,,22,0.75,-
,,24,0.81,-
,,25,0.75,-
,,26,0.63,-
,,27,0.75,-
,,28,0.63,-
,,29,0.75,-
,Jul,01,0.25,-
,,02,0.44,-
,,03,0.38,-
,,04,0.5,-
,,05,0.38,-
,,06,0.5,-
,,08,0.25,-
,,09,0.5,-
,,10,0.25,-
,,11,0.5,-
,,12,0.56,-
,,13,0.5,-
,,15,0.56,-
,,16,0.5,-
,,17,0.63,-
,,18,0.63,-
,,19,0.69,-
,,20,0.63,-
,,22,0.38,-
,,23,0.38,-
,,24,0.38,-
,,25,0.5,-
,,26,0.63,-
,,27,0.56,-
,,29,0.63,-
,,30,0.75,-
,,31,0.63,-
,Aug,01,0.88,-
,,02,0.75,-
,,03,0.75,-
,,05,0.88,-
,,06,0.81,-
,,07,0.75,-
,,08,0.88,-
,,10,0.75,-
,,12,0.69,-
,,13,0.69,-
,,14,0.88,-
,,15,0.94,-
,,16,0.5,-
,,17,0.81,-
,,19,0.88,-
,,20,1,-
,,21,0.88,-
,,22,0.81,-
,,23,0.88,-
,,24,0.75,-
,,26,0.88,-
,,27,0.94,-
,,28,0.94,-
,,29,0.75,-
,,30,0.88,-
,,31,0.75,-
,Sep,02,0.81,-
,,03,0.88,-
,,04,0.94,-
,,05,0.94,-
,,06,1,-
,,07,0.88,-
,,09,1.06,-
,,10,1,-
,,11,1.13,-
,,12,1,-
,,13,1.13,-
,,14,1,-
,,16,1.13,-
,,17,1.25,-
,,18,0.13,-
,,19,1.38,-
,,20,1.25,-
,,21,1.25,-
,,23,1.5,-
,,24,1.38,-
,,25,1.38,-
,,26,1.25,-
,,27,1.5,-
,,28,1.5,-
,,30,1.31,-
,Oct,01,1.5,-
,,02,1,-
,,03,1.5,-
,,04,1.5,-
,,05,1.38,-
,,07,1.25,-
,,08,1.13,-
,,09,1,-
,,10,0.88,-
,,11,1.25,-
,,12,1,-
,,14,0.5,-
,,15,0.5,-
,,16,0.25,-
,,17,0.5,-
,,18,0.88,-
,,19,0.88,-
,,21,0.81,-
,,22,1,-
,,23,1,-
,,24,1.13,-
,,25,1,-
,,26,1.13,-
,,28,1.25,-
,,29,1.25,-
,,30,1.25,-
,,31,1.25,-
,Nov,01,1,-
,,02,0.63,-
,,05,0.88,-
,,06,0.38,-
,,07,0.25,-
,,08,0.38,-
,,09,0.38,-
,,11,0.38,-
,,12,0.5,-
,,13,0.06,-
,,14,0.5,-
,,15,0.63,-
,,16,0.5,-
,,18,0.38,-
,,19,0.38,-
,,20,0.31,-
,,21,0.25,-
,,22,0.5,-
,,23,0.38,-
,,25,0.13,-
,,26,0.25,-
,,27,0.19,-
,,28,0.5,-
,,29,0.38,-
,,30,0.38,-
,Dec,02,0.38,-
,,03,0.63,-
,,04,0.5,-
,,05,0.63,-
,,07,0.63,-
,,09,0.38,-
,,10,0.38,-
,,11,0.25,-
,,12,0.69,-
,,13,0.63,-
,,14,0.63,-
,,16,0.44,-
,,17,0.63,-
,,18,0.56,-
,,19,0.63,-
,,20,0.5,-
,,21,0.69,-
,,23,0.5,-
,,24,0.25,-
,,26,0.38,-
,,27,0.5,-
,,28,0.5,-
,,30,0.75,-
,,31,0.38,-
2003,Jan,02,0.38,-
,,03,0.5,-
,,04,0.63,-
,,06,0.88,-
,,07,0.88,-
,,08,0.63,-
,,09,0.63,-
,,10,0.56,-
,,11,0.5,-
,,13,0.38,-
,,14,0.31,-
,,15,0.38,-
,,16,0.25,-
,,17,0.75,-
,,18,0.56,-
,,20,0.5,-
,,21,0.25,-
,,22,0.13,-
,,23,0.5,-
,,24,0.63,-
,,25,0.63,-
,,27,0.63,-
,,28,0.63,-
,,29,0.63,-
,,30,0.5,-
,,31,0.13,-
,Feb,04,0.06,-
,,05,0.19,-
,,06,0.5,-
,,07,0.44,-
,,08,0.5,-
,,10,0.31,-
,,11,0.25,-
,,13,0.38,-
,,14,0.5,-
,,15,0.5,-
,,17,0.63,-
,,18,0.38,-
,,19,0.38,-
,,20,0.5,-
,,21,0.63,-
,,22,0.5,-
,,24,0.63,-
,,25,0.69,-
,,26,0.69,-
,,27,0.69,-
,,28,0.75,-
,Mar,01,0.69,-
,,03,0.13,-
,,04,0.06,-
,,05,0.25,-
,,06,0.5,-
,,07,0.5,-
,,08,0.31,-
,,10,0.63,-
,,11,0.69,-
,,12,0.69,-
,,13,0.69,-
,,14,0.63,-
,,15,0.38,-
,,17,0.69,-
,,18,0.25,-
,,19,0.13,-
,,20,0.5,-
,,21,0.63,-
,,22,0.63,-
,,24,0.63,-
,,25,0.69,-
,,26,0.63,-
,,27,0.69,-
,,28,0.75,-
,,29,0.63,-
,,31,0.81,-
,Apr,01,0.81,-
,,02,0.81,-
,,03,0.75,-
,,04,0.63,-
,,05,0.63,-
,,07,0.63,-
,,08,0.38,-
,,09,0.31,-
,,10,0.25,-
,,11,0.5,-
,,12,0.38,-
,,14,0.44,-
,,15,0.44,-
,,16,0.38,-
,,17,0.38,-
,,19,0.38,-
,,21,0.25,-
,,22,0.5,-
,,23,0.31,-
,,24,0.38,-
,,25,0.56,-
,,26,0.5,-
,,28,0.56,-
,,29,0.25,-
,,30,0.13,-
,May,02,0.63,-
,,03,0.63,-
,,05,0.63,-
,,06,0.63,-
,,07,0.75,-
,,08,0.75,-
,,09,0.5,-
,,10,0.5,-
,,12,0.44,-
,,13,0.63,-
,,14,0.56,-
,,16,0.63,-
,,17,0.63,-
,,19,0.38,-
,,20,0.5,-
,,21,0.5,-
,,22,0.5,-
,,23,0.56,-
,,24,0.5,-
,,26,0.56,-
,,27,0.69,-
,,28,0.13,-
,,29,0.63,-
,,30,0.63,-
,,31,0.63,-
,Jun,02,0.5,-
,,03,0.63,-
,,04,0.56,-
,,05,0.5,-
,,06,0.56,-
,,07,0.44,-
,,09,0.38,-
,,10,0.38,-
,,11,0.13,-
,,12,0.44,-
,,13,0.38,-
,,14,0.25,-
,,16,0.38,-
,,17,0.44,-
,,18,0.56,-
,,19,0.56,-
,,20,0.56,-
,,21,0.5,-
,,23,0.38,-
,,24,0.38,-
,,25,0.44,-
,,26,0.5,-
,,27,0.5,-
,,28,0.5,-
,,30,0.44,-
,Jul,01,0.38,-
,,02,0.31,-
,,03,0.38,-
,,04,0.44,-
,,05,0.38,-
,,07,0.5,-
,,08,0.63,-
,,09,0.31,-
,,10,0.56,-
,,11,0.56,-
,,12,0.5,-
,,14,0.5,-
,,15,0.5,-
,,16,0.38,-
,,17,0.63,-
,,18,0.5,-
,,19,0.5,-
,,21,0.5,-
,,22,0.25,-
,,23,0.13,-
,,24,0.5,-
,,25,0.5,-
,,26,0.5,-
,,28,0.5,-
,,29,0.5,-
,,30,0.56,-
,,31,0.75,-
,Aug,01,0.81,-
,,02,0.75,-
,,04,0.63,-
,,05,0.75,-
,,06,0.63,-
,,07,0.75,-
,,08,0.69,-
,,11,0.75,-
,,12,0.75,-
,,13,0.75,-
,,14,0.75,-
,,15,0.88,-
,,16,0.75,-
,,18,0.75,-
,,19,0.88,-
,,20,0.81,-
,,21,0.81,-
,,22,0.69,-
,,23,0.81,-
,,25,0.75,-
,,26,0.69,-
,,27,0.88,-
,,28,0.63,-
,,29,0.88,-
,,30,0.75,-
,Sep,01,0.81,-
,,02,0.75,-
,,03,0.5,-
,,04,0.75,-
,,05,0.63,-
,,06,0.63,-
,,08,0.56,-
,,09,0.56,-
,,10,0.5,-
,,11,0.25,-
,,12,0.44,-
,,13,0.5,-
,,15,0.5,-
,,16,0.44,-
,,17,0.25,-
,,18,0.56,-
,,19,0.56,-
,,20,0.38,-
,,22,0.56,-
,,23,0.5,-
,,24,0.5,-
,,25,0.5,-
,,26,0.56,-
,,27,0.5,-
,,29,0.44,-
,,30,0.44,-
,Oct,01,0.13,-
,,02,0.5,-
,,03,0.5,-
,,04,0.5,-
,,06,0.38,-
,,07,0.56,-
,,08,0.44,-
,,09,0.5,-
,,10,0.56,-
,,11,0.38,-
,,13,0.38,-
,,14,0.5,-
,,15,0.38,-
,,16,0.69,-
,,17,0.69,-
,,18,0.5,-
,,20,0.63,-
,,21,0.69,-
,,22,0.63,-
,,23,0.44,-
,,25,0.38,-
,,27,0.25,-
,,28,0.38,-
,,29,0.25,-
,,30,0.63,-
,,31,0.38,-
,Nov,01,0.25,-
,,03,0.56,-
,,04,0.38,-
,,05,0.38,-
,,06,0.25,-
,,07,0.25,-
,,08,0.25,-
,,10,0.06,-
,,11,0.19,-
,,12,0.06,-
,,13,0.31,-
,,14,0.25,-
,,15,0.25,-
,,17,0.44,-
,,18,0.38,-
,,19,0.31,-
,,20,0.5,-
,,21,0.38,-
,,22,0.38,-
,,24,0.38,-
,,26,0.31,-
,,27,0.38,-
,,28,0.19,-
,,29,0.13,-
,Dec,01,0.25,-
,,02,0.19,-
,,03,0.19,-
,,04,0.19,-
,,05,0.25,-
,,06,0.19,-
,,08,0.25,-
,,09,0.31,-
,,10,0.31,-
,,11,0.38,-
,,12,0.44,-
,,13,0.25,-
,,15,0.44,-
,,16,0.44,-
,,17,0.44,-
,,18,0.38,-
,,19,0.38,-
,,20,0.38,-
,,22,0.25,-
,,23,0.31,-
,,24,0.13,-
,,26,0.38,-
,,27,0.25,-
,,29,0.44,-
,,30,0.44,-
,,31,0.63,-
2004,Jan,02,0.44,-
,,03,0.38,-
,,05,0.44,-
,,06,0.31,-
,,07,0.13,-
,,08,0.56,-
,,09,0.56,-
